Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.8
========================================

Computing frequent itemsets from dataset...
+-----------------------------------------------------------------------------------------------------------------+
|                                         Frequent itemsets (min_sup=0.09)                                        |
+------------------------------------------------------------------------------------------+----------------------+
|                                         Itemset                                          |      Support %       |
|                                    ('Alive', 'Fair')                                     |       14.82 %        |
|                                 ('Alive', 'Street Tree')                                 | 72.96000000000001 %  |
|                                   ('Alive', 'Stones')                                    |        13.5 %        |
|                              ('Alive', '(82.603, 95.183]')                               |       19.46 %        |
|                               ('Alive', 'NYC Parks Staff')                               | 25.380000000000003 % |
|                                   ('Alive', 'Damage')                                    | 32.519999999999996 % |
|                                   ('Alive', 'OnCurb')                                    | 92.25999999999999 %  |
|                                 ('Alive', 'NoProblems')                                  |       62.18 %        |
|                                     ('Alive', 11212)                                     | 10.620000000000001 % |
|                                  ('Alive', 'Brooklyn')                                   | 48.980000000000004 % |
|                                 ('Alive', 'Light Pole')                                  |       24.22 %        |
|                              ('Alive', '(71.353, 73.473]')                               |       19.28 %        |
|                                     ('Alive', 2019)                                      |       48.94 %        |
|                                     ('Alive', 2018)                                      |       48.24 %        |
|                                    ('Alive', 'Bronx')                                    |       23.86 %        |
|                                 ('Alive', '(4.0, 6.0]')                                  | 15.299999999999999 % |
|                            ('Alive', 'Platanus x acerifolia')                            | 12.740000000000002 % |
|                              ('Alive', 'TreesCount Staff')                               | 41.959999999999994 % |
|                                   ('Alive', 'Queens')                                    |       10.86 %        |
|                                  ('Alive', 'NoDamage')                                   |       64.66 %        |
|                        ('Alive', '(52.443000000000005, 71.353]')                         |        19.3 %        |
|                              ('(6.0, 9.0]', 'Street Tree')                               |        9.62 %        |
|                                 ('(6.0, 9.0]', 'OnCurb')                                 |       12.94 %        |
|                           ('(73.473, 76.336]', 'Street Tree')                            | 15.379999999999999 % |
|                              ('(73.473, 76.336]', 'OnCurb')                              |       18.98 %        |
|                            ('(73.473, 76.336]', 'NoProblems')                            |       12.44 %        |
|                             ('(73.473, 76.336]', 'Brooklyn')                             |       10.02 %        |
|                                ('(73.473, 76.336]', 2018)                                | 14.580000000000002 % |
|                             ('(73.473, 76.336]', 'NoDamage')                             |       13.34 %        |
|                                ('Volunteer', 'Manhattan')                                |        9.64 %        |
|                               ('Volunteer', 'Street Tree')                               | 23.380000000000003 % |
|                                 ('Volunteer', 'Damage')                                  |       11.48 %        |
|                                 ('Volunteer', 'OnCurb')                                  |       28.84 %        |
|                               ('Volunteer', 'NoProblems')                                | 14.180000000000001 % |
|                                ('Volunteer', 'Brooklyn')                                 | 14.799999999999999 % |
|                                   ('Volunteer', 2019)                                    |       17.84 %        |
|                                   ('Volunteer', 2018)                                    |        12.8 %        |
|                                ('Volunteer', 'NoDamage')                                 | 18.360000000000003 % |
|                               ('Manhattan', 'Street Tree')                               |       11.84 %        |
|                                 ('Manhattan', 'OnCurb')                                  |       12.82 %        |
|                                ('Manhattan', 'NoDamage')                                 |        9.28 %        |
|                              ('honeylocust', 'Street Tree')                              |        9.58 %        |
|                                ('honeylocust', 'OnCurb')                                 |        13.0 %        |
|                             ('(16.0, 59.0]', 'Street Tree')                              | 13.200000000000001 % |
|                                ('(16.0, 59.0]', 'OnCurb')                                | 15.840000000000002 % |
|                               ('(16.0, 59.0]', 'Brooklyn')                               | 11.020000000000001 % |
|                                  ('(16.0, 59.0]', 2018)                                  |        9.46 %        |
|                           ('(76.336, 82.603]', 'Street Tree')                            |       14.74 %        |
|                              ('(76.336, 82.603]', 'OnCurb')                              |       18.84 %        |
|                            ('(76.336, 82.603]', 'NoProblems')                            |        12.5 %        |
|                             ('(76.336, 82.603]', 'Brooklyn')                             |       10.36 %        |
|                                ('(76.336, 82.603]', 2019)                                |       10.76 %        |
|                                ('(76.336, 82.603]', 2018)                                |        9.16 %        |
|                             ('(76.336, 82.603]', 'NoDamage')                             |       13.08 %        |
|                           ('London planetree', 'Street Tree')                            |        9.64 %        |
|                              ('London planetree', 'OnCurb')                              |       11.32 %        |
|                      ('London planetree', 'Platanus x acerifolia')                       | 12.740000000000002 % |
|                                 ('BK82', 'Street Tree')                                  |       10.66 %        |
|                                    ('BK82', 'OnCurb')                                    |       12.06 %        |
|                                   ('BK82', 'Brooklyn')                                   |        12.6 %        |
|                             ('(-0.001, 4.0]', 'Street Tree')                             |       23.74 %        |
|                               ('(-0.001, 4.0]', 'OnCurb')                                | 30.020000000000003 % |
|                             ('(-0.001, 4.0]', 'NoProblems')                              |       24.08 %        |
|                              ('(-0.001, 4.0]', 'Brooklyn')                               |       16.54 %        |
|                                 ('(-0.001, 4.0]', 2019)                                  | 16.259999999999998 % |
|                                 ('(-0.001, 4.0]', 2018)                                  | 14.879999999999999 % |
|                          ('(-0.001, 4.0]', 'TreesCount Staff')                           | 15.440000000000001 % |
|                              ('(-0.001, 4.0]', 'NoDamage')                               |        23.0 %        |
|                                 ('Fair', 'Street Tree')                                  | 11.459999999999999 % |
|                                    ('Fair', 'OnCurb')                                    |       14.06 %        |
|                                   ('Fair', 'NoDamage')                                   |        9.4 %         |
|                                ('Street Tree', 'Stones')                                 |        9.82 %        |
|                           ('Street Tree', '(82.603, 95.183]')                            | 14.280000000000001 % |
|                            ('Street Tree', 'NYC Parks Staff')                            |       19.42 %        |
|                                ('Street Tree', 'Damage')                                 |       24.22 %        |
|                                ('Street Tree', 'OnCurb')                                 |       71.44 %        |
|                              ('Street Tree', 'NoProblems')                               | 46.660000000000004 % |
|                               ('Street Tree', 'Brooklyn')                                |       38.12 %        |
|                           ('Street Tree', '(71.353, 73.473]')                            |        15.0 %        |
|                                  ('Street Tree', 2019)                                   |       37.68 %        |
|                                  ('Street Tree', 2018)                                   |       37.34 %        |
|                                 ('Street Tree', 'Bronx')                                 |       15.64 %        |
|                              ('Street Tree', '(4.0, 6.0]')                               | 11.799999999999999 % |
|                         ('Street Tree', 'Platanus x acerifolia')                         |        9.64 %        |
|                           ('Street Tree', 'TreesCount Staff')                            |       32.22 %        |
|                                ('Street Tree', 'Queens')                                 |        9.42 %        |
|                               ('Street Tree', 'NoDamage')                                |       48.74 %        |
|                     ('Street Tree', '(52.443000000000005, 71.353]')                      | 15.299999999999999 % |
|                                   ('Stones', 'OnCurb')                                   | 12.920000000000002 % |
|                              ('(82.603, 95.183]', 'OnCurb')                              |       18.86 %        |
|                            ('(82.603, 95.183]', 'NoProblems')                            |       12.04 %        |
|                             ('(82.603, 95.183]', 'Brooklyn')                             | 9.700000000000001 %  |
|                                ('(82.603, 95.183]', 2019)                                |       12.98 %        |
|                             ('(82.603, 95.183]', 'NoDamage')                             |       12.02 %        |
|                              ('NYC Parks Staff', 'OnCurb')                               |       24.92 %        |
|                            ('NYC Parks Staff', 'NoProblems')                             |       17.24 %        |
|                             ('NYC Parks Staff', 'Brooklyn')                              |       15.02 %        |
|                                ('NYC Parks Staff', 2019)                                 | 12.540000000000001 % |
|                                ('NYC Parks Staff', 2018)                                 |       13.58 %        |
|                             ('NYC Parks Staff', 'NoDamage')                              |       17.52 %        |
|                                   ('Damage', 'OnCurb')                                   |       31.36 %        |
|                                 ('Damage', 'NoProblems')                                 |       14.84 %        |
|                                  ('Damage', 'Brooklyn')                                  |       17.26 %        |
|                                     ('Damage', 2019)                                     | 16.900000000000002 % |
|                                     ('Damage', 2018)                                     | 15.620000000000001 % |
|                              ('Damage', 'TreesCount Staff')                              |       13.18 %        |
|                                 ('OnCurb', 'NoProblems')                                 |       58.74 %        |
|                                    ('OnCurb', 11212)                                     |       10.14 %        |
|                                  ('OnCurb', 'Brooklyn')                                  |        47.8 %        |
|                                 ('OnCurb', 'Light Pole')                                 |       23.52 %        |
|                              ('OnCurb', '(71.353, 73.473]')                              |       19.02 %        |
|                                     ('OnCurb', 2019)                                     |       48.06 %        |
|                                     ('OnCurb', 2018)                                     |        46.9 %        |
|                                   ('OnCurb', 'Bronx')                                    |       23.54 %        |
|                                 ('OnCurb', '(4.0, 6.0]')                                 | 14.899999999999999 % |
|                           ('OnCurb', 'Platanus x acerifolia')                            |       11.32 %        |
|                              ('OnCurb', 'TreesCount Staff')                              | 41.199999999999996 % |
|                                   ('OnCurb', 'Queens')                                   |        10.8 %        |
|                                  ('OnCurb', 'NoDamage')                                  |        60.9 %        |
|                        ('OnCurb', '(52.443000000000005, 71.353]')                        |       18.84 %        |
|                                ('NoProblems', 'Brooklyn')                                | 30.740000000000002 % |
|                               ('NoProblems', 'Light Pole')                               |       15.52 %        |
|                            ('NoProblems', '(71.353, 73.473]')                            |       12.34 %        |
|                                   ('NoProblems', 2019)                                   | 30.659999999999997 % |
|                                   ('NoProblems', 2018)                                   |       31.52 %        |
|                                 ('NoProblems', 'Bronx')                                  |       16.04 %        |
|                               ('NoProblems', '(4.0, 6.0]')                               |       10.68 %        |
|                            ('NoProblems', 'TreesCount Staff')                            | 30.759999999999998 % |
|                                ('NoProblems', 'NoDamage')                                | 47.339999999999996 % |
|                      ('NoProblems', '(52.443000000000005, 71.353]')                      | 12.620000000000001 % |
|                                   (11212, 'Brooklyn')                                    |       10.86 %        |
|                                ('Brooklyn', 'Light Pole')                                |       11.86 %        |
|                             ('Brooklyn', '(71.353, 73.473]')                             | 10.620000000000001 % |
|                                    ('Brooklyn', 2019)                                    |       28.12 %        |
|                                    ('Brooklyn', 2018)                                    |       21.86 %        |
|                             ('Brooklyn', 'TreesCount Staff')                             |       20.16 %        |
|                                 ('Brooklyn', 'NoDamage')                                 |       31.72 %        |
|                                   ('Light Pole', 2019)                                   |       12.82 %        |
|                                   ('Light Pole', 2018)                                   |       12.16 %        |
|                                 ('Light Pole', 'Bronx')                                  |        9.3 %         |
|                            ('Light Pole', 'TreesCount Staff')                            | 11.020000000000001 % |
|                                ('Light Pole', 'NoDamage')                                | 15.920000000000002 % |
|                                    ('BX27', 'Bronx')                                     |        9.16 %        |
|                                ('(71.353, 73.473]', 2019)                                | 10.879999999999999 % |
|                                ('(71.353, 73.473]', 2018)                                |        9.04 %        |
|                             ('(71.353, 73.473]', 'NoDamage')                             | 12.659999999999998 % |
|                                     (2019, 'Bronx')                                      |       11.04 %        |
|                                (2019, 'TreesCount Staff')                                | 20.119999999999997 % |
|                                    (2019, 'NoDamage')                                    |       32.04 %        |
|                          (2019, '(52.443000000000005, 71.353]')                          |       10.26 %        |
|                                     (2018, 'Bronx')                                      | 13.900000000000002 % |
|                                (2018, 'TreesCount Staff')                                | 23.119999999999997 % |
|                                    (2018, 'NoDamage')                                    |       32.62 %        |
|                          (2018, '(52.443000000000005, 71.353]')                          |        9.66 %        |
|                              ('Bronx', 'TreesCount Staff')                               | 13.139999999999999 % |
|                                  ('Bronx', 'NoDamage')                                   |       16.16 %        |
|                                ('(4.0, 6.0]', 'NoDamage')                                |       11.88 %        |
|                             ('TreesCount Staff', 'NoDamage')                             |       28.78 %        |
|                   ('TreesCount Staff', '(52.443000000000005, 71.353]')                   |        9.32 %        |
|                       ('NoDamage', '(52.443000000000005, 71.353]')                       |       13.22 %        |
|                               ('BK81', 'Alive', 'OnCurb')                                |        9.78 %        |
