Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.8
========================================

Computing frequent itemsets from dataset...
+-----------------------------------------------------------------------------------------------------------------+
|                                         Frequent itemsets (min_sup=0.09)                                        |
+------------------------------------------------------------------------------------------+----------------------+
|                                         Itemset                                          |      Support %       |
|                   ('Good', 'NoDamage', '(52.443000000000005, 71.353]')                   |       10.52 %        |
|                         ('(9.0, 16.0]', 'Alive', 'Street Tree')                          | 16.520000000000003 % |
|                            ('(9.0, 16.0]', 'Alive', 'Damage')                            |       10.14 %        |
|                            ('(9.0, 16.0]', 'Alive', 'OnCurb')                            |       21.08 %        |
|                          ('(9.0, 16.0]', 'Alive', 'NoProblems')                          |       11.92 %        |
|                           ('(9.0, 16.0]', 'Alive', 'Brooklyn')                           |       10.58 %        |
|                              ('(9.0, 16.0]', 'Alive', 2019)                              |       11.48 %        |
|                              ('(9.0, 16.0]', 'Alive', 2018)                              |       10.68 %        |
|                       ('(9.0, 16.0]', 'Alive', 'TreesCount Staff')                       |        9.22 %        |
|                           ('(9.0, 16.0]', 'Alive', 'NoDamage')                           |       12.02 %        |
|                         ('(9.0, 16.0]', 'Street Tree', 'OnCurb')                         |       15.86 %        |
|                        ('(9.0, 16.0]', 'Street Tree', 'NoDamage')                        | 9.120000000000001 %  |
|                           ('(9.0, 16.0]', 'Damage', 'OnCurb')                            |        9.9 %         |
|                         ('(9.0, 16.0]', 'OnCurb', 'NoProblems')                          |       11.28 %        |
|                          ('(9.0, 16.0]', 'OnCurb', 'Brooklyn')                           |       10.16 %        |
|                             ('(9.0, 16.0]', 'OnCurb', 2019)                              |       11.08 %        |
|                             ('(9.0, 16.0]', 'OnCurb', 2018)                              |       10.18 %        |
|                          ('(9.0, 16.0]', 'OnCurb', 'NoDamage')                           |       11.18 %        |
|                          ('Alive', '(6.0, 9.0]', 'Street Tree')                          |        9.56 %        |
|                            ('Alive', '(6.0, 9.0]', 'OnCurb')                             |       12.82 %        |
|                       ('Alive', '(73.473, 76.336]', 'Street Tree')                       |       15.02 %        |
|                         ('Alive', '(73.473, 76.336]', 'OnCurb')                          |       18.52 %        |
|                       ('Alive', '(73.473, 76.336]', 'NoProblems')                        |       12.44 %        |
|                        ('Alive', '(73.473, 76.336]', 'Brooklyn')                         |        9.82 %        |
|                           ('Alive', '(73.473, 76.336]', 2018)                            |       14.26 %        |
|                        ('Alive', '(73.473, 76.336]', 'NoDamage')                         |       13.34 %        |
|                           ('Alive', 'Volunteer', 'Manhattan')                            |        9.32 %        |
|                          ('Alive', 'Volunteer', 'Street Tree')                           |       22.74 %        |
|                             ('Alive', 'Volunteer', 'Damage')                             |       11.48 %        |
|                             ('Alive', 'Volunteer', 'OnCurb')                             |       28.04 %        |
|                           ('Alive', 'Volunteer', 'NoProblems')                           | 14.180000000000001 % |
|                            ('Alive', 'Volunteer', 'Brooklyn')                            |       14.56 %        |
|                               ('Alive', 'Volunteer', 2019)                               |       17.44 %        |
|                               ('Alive', 'Volunteer', 2018)                               |        12.4 %        |
|                            ('Alive', 'Volunteer', 'NoDamage')                            | 18.360000000000003 % |
|                          ('Alive', 'Manhattan', 'Street Tree')                           |       11.42 %        |
|                             ('Alive', 'Manhattan', 'OnCurb')                             |       12.34 %        |
|                            ('Alive', 'Manhattan', 'NoDamage')                            |        9.28 %        |
|                         ('Alive', 'honeylocust', 'Street Tree')                          |        9.58 %        |
|                            ('Alive', 'honeylocust', 'OnCurb')                            |        13.0 %        |
|                         ('Alive', '(16.0, 59.0]', 'Street Tree')                         |       13.16 %        |
|                           ('Alive', '(16.0, 59.0]', 'OnCurb')                            |       15.78 %        |
|                          ('Alive', '(16.0, 59.0]', 'Brooklyn')                           |       10.96 %        |
|                             ('Alive', '(16.0, 59.0]', 2018)                              |        9.44 %        |
|                       ('Alive', '(76.336, 82.603]', 'Street Tree')                       | 14.299999999999999 % |
|                         ('Alive', '(76.336, 82.603]', 'OnCurb')                          |       18.22 %        |
|                       ('Alive', '(76.336, 82.603]', 'NoProblems')                        |        12.5 %        |
|                        ('Alive', '(76.336, 82.603]', 'Brooklyn')                         |        10.2 %        |
|                           ('Alive', '(76.336, 82.603]', 2019)                            |       10.34 %        |
|                        ('Alive', '(76.336, 82.603]', 'NoDamage')                         |       13.08 %        |
|                       ('Alive', 'London planetree', 'Street Tree')                       |        9.64 %        |
|                         ('Alive', 'London planetree', 'OnCurb')                          |       11.32 %        |
|                  ('Alive', 'London planetree', 'Platanus x acerifolia')                  | 12.740000000000002 % |
|                             ('Alive', 'BK82', 'Street Tree')                             |       10.34 %        |
|                               ('Alive', 'BK82', 'OnCurb')                                |       11.72 %        |
|                              ('Alive', 'BK82', 'Brooklyn')                               |       12.26 %        |
|                        ('Alive', '(-0.001, 4.0]', 'Street Tree')                         |       22.06 %        |
|                           ('Alive', '(-0.001, 4.0]', 'OnCurb')                           | 27.860000000000003 % |
|                         ('Alive', '(-0.001, 4.0]', 'NoProblems')                         |       24.08 %        |
|                          ('Alive', '(-0.001, 4.0]', 'Brooklyn')                          |        15.8 %        |
|                             ('Alive', '(-0.001, 4.0]', 2019)                             |       15.06 %        |
|                             ('Alive', '(-0.001, 4.0]', 2018)                             | 13.900000000000002 % |
|                      ('Alive', '(-0.001, 4.0]', 'TreesCount Staff')                      |       14.46 %        |
|                          ('Alive', '(-0.001, 4.0]', 'NoDamage')                          |        23.0 %        |
|                             ('Alive', 'Fair', 'Street Tree')                             | 11.459999999999999 % |
|                               ('Alive', 'Fair', 'OnCurb')                                |       14.06 %        |
|                              ('Alive', 'Fair', 'NoDamage')                               |        9.4 %         |
|                            ('Alive', 'Street Tree', 'Stones')                            |        9.82 %        |
|                       ('Alive', 'Street Tree', '(82.603, 95.183]')                       |       14.02 %        |
|                       ('Alive', 'Street Tree', 'NYC Parks Staff')                        |       18.84 %        |
|                            ('Alive', 'Street Tree', 'Damage')                            |       24.22 %        |
|                            ('Alive', 'Street Tree', 'OnCurb')                            |       69.44 %        |
|                          ('Alive', 'Street Tree', 'NoProblems')                          | 46.660000000000004 % |
|                           ('Alive', 'Street Tree', 'Brooklyn')                           |        37.3 %        |
|                       ('Alive', 'Street Tree', '(71.353, 73.473]')                       |       14.48 %        |
|                              ('Alive', 'Street Tree', 2019)                              |        36.6 %        |
|                              ('Alive', 'Street Tree', 2018)                              |       36.36 %        |
|                            ('Alive', 'Street Tree', 'Bronx')                             | 15.040000000000001 % |
|                          ('Alive', 'Street Tree', '(4.0, 6.0]')                          |       11.66 %        |
|                    ('Alive', 'Street Tree', 'Platanus x acerifolia')                     |        9.64 %        |
|                       ('Alive', 'Street Tree', 'TreesCount Staff')                       | 31.380000000000003 % |
|                            ('Alive', 'Street Tree', 'Queens')                            |        9.2 %         |
|                           ('Alive', 'Street Tree', 'NoDamage')                           |       48.74 %        |
|                 ('Alive', 'Street Tree', '(52.443000000000005, 71.353]')                 |       14.82 %        |
|                              ('Alive', 'Stones', 'OnCurb')                               | 12.920000000000002 % |
|                         ('Alive', '(82.603, 95.183]', 'OnCurb')                          |       18.44 %        |
|                       ('Alive', '(82.603, 95.183]', 'NoProblems')                        |       12.04 %        |
|                        ('Alive', '(82.603, 95.183]', 'Brooklyn')                         |        9.6 %         |
|                           ('Alive', '(82.603, 95.183]', 2019)                            |       12.72 %        |
|                        ('Alive', '(82.603, 95.183]', 'NoDamage')                         |       12.02 %        |
|                          ('Alive', 'NYC Parks Staff', 'OnCurb')                          |       24.22 %        |
|                        ('Alive', 'NYC Parks Staff', 'NoProblems')                        |       17.24 %        |
|                         ('Alive', 'NYC Parks Staff', 'Brooklyn')                         | 14.680000000000001 % |
|                            ('Alive', 'NYC Parks Staff', 2019)                            |       12.04 %        |
|                            ('Alive', 'NYC Parks Staff', 2018)                            |       13.34 %        |
|                         ('Alive', 'NYC Parks Staff', 'NoDamage')                         |       17.52 %        |
|                              ('Alive', 'Damage', 'OnCurb')                               |       31.36 %        |
|                            ('Alive', 'Damage', 'NoProblems')                             |       14.84 %        |
|                             ('Alive', 'Damage', 'Brooklyn')                              |       17.26 %        |
|                                ('Alive', 'Damage', 2019)                                 | 16.900000000000002 % |
|                                ('Alive', 'Damage', 2018)                                 | 15.620000000000001 % |
|                         ('Alive', 'Damage', 'TreesCount Staff')                          |       13.18 %        |
|                            ('Alive', 'OnCurb', 'NoProblems')                             |       58.74 %        |
|                                ('Alive', 'OnCurb', 11212)                                |        9.9 %         |
|                             ('Alive', 'OnCurb', 'Brooklyn')                              | 46.839999999999996 % |
|                            ('Alive', 'OnCurb', 'Light Pole')                             |       22.82 %        |
|                         ('Alive', 'OnCurb', '(71.353, 73.473]')                          |        18.4 %        |
|                                ('Alive', 'OnCurb', 2019)                                 |       46.58 %        |
|                                ('Alive', 'OnCurb', 2018)                                 |       45.68 %        |
|                               ('Alive', 'OnCurb', 'Bronx')                               |       22.54 %        |
|                            ('Alive', 'OnCurb', '(4.0, 6.0]')                             | 14.719999999999999 % |
|                       ('Alive', 'OnCurb', 'Platanus x acerifolia')                       |       11.32 %        |
|                         ('Alive', 'OnCurb', 'TreesCount Staff')                          |        40.0 %        |
|                              ('Alive', 'OnCurb', 'Queens')                               |       10.54 %        |
|                             ('Alive', 'OnCurb', 'NoDamage')                              |        60.9 %        |
|                   ('Alive', 'OnCurb', '(52.443000000000005, 71.353]')                    |       18.26 %        |
|                           ('Alive', 'NoProblems', 'Brooklyn')                            | 30.740000000000002 % |
|                          ('Alive', 'NoProblems', 'Light Pole')                           |       15.52 %        |
|                       ('Alive', 'NoProblems', '(71.353, 73.473]')                        |       12.34 %        |
|                              ('Alive', 'NoProblems', 2019)                               | 30.659999999999997 % |
|                              ('Alive', 'NoProblems', 2018)                               |       31.52 %        |
|                             ('Alive', 'NoProblems', 'Bronx')                             |       16.04 %        |
|                          ('Alive', 'NoProblems', '(4.0, 6.0]')                           |       10.68 %        |
|                       ('Alive', 'NoProblems', 'TreesCount Staff')                        | 30.759999999999998 % |
|                           ('Alive', 'NoProblems', 'NoDamage')                            | 47.339999999999996 % |
|                 ('Alive', 'NoProblems', '(52.443000000000005, 71.353]')                  | 12.620000000000001 % |
|                               ('Alive', 11212, 'Brooklyn')                               | 10.620000000000001 % |
|                           ('Alive', 'Brooklyn', 'Light Pole')                            |       11.68 %        |
|                        ('Alive', 'Brooklyn', '(71.353, 73.473]')                         |       10.32 %        |
|                               ('Alive', 'Brooklyn', 2019)                                |       27.46 %        |
|                               ('Alive', 'Brooklyn', 2018)                                |       21.52 %        |
|                        ('Alive', 'Brooklyn', 'TreesCount Staff')                         |       19.74 %        |
|                            ('Alive', 'Brooklyn', 'NoDamage')                             |       31.72 %        |
|                              ('Alive', 'Light Pole', 2019)                               |       12.34 %        |
|                              ('Alive', 'Light Pole', 2018)                               |       11.88 %        |
|                       ('Alive', 'Light Pole', 'TreesCount Staff')                        |       10.58 %        |
|                           ('Alive', 'Light Pole', 'NoDamage')                            | 15.920000000000002 % |
|                           ('Alive', '(71.353, 73.473]', 2019)                            |        10.6 %        |
|                        ('Alive', '(71.353, 73.473]', 'NoDamage')                         | 12.659999999999998 % |
|                                 ('Alive', 2019, 'Bronx')                                 |       10.48 %        |
|                           ('Alive', 2019, 'TreesCount Staff')                            |       19.46 %        |
|                               ('Alive', 2019, 'NoDamage')                                |       32.04 %        |
|                     ('Alive', 2019, '(52.443000000000005, 71.353]')                      |        9.8 %         |
|                                 ('Alive', 2018, 'Bronx')                                 |       13.38 %        |
|                           ('Alive', 2018, 'TreesCount Staff')                            |        22.5 %        |
|                               ('Alive', 2018, 'NoDamage')                                |       32.62 %        |
|                     ('Alive', 2018, '(52.443000000000005, 71.353]')                      |        9.5 %         |
|                          ('Alive', 'Bronx', 'TreesCount Staff')                          | 12.520000000000001 % |
|                              ('Alive', 'Bronx', 'NoDamage')                              |       16.16 %        |
|                           ('Alive', '(4.0, 6.0]', 'NoDamage')                            |       11.88 %        |
|                        ('Alive', 'TreesCount Staff', 'NoDamage')                         |       28.78 %        |
|              ('Alive', 'TreesCount Staff', '(52.443000000000005, 71.353]')               |        9.02 %        |
|                  ('Alive', 'NoDamage', '(52.443000000000005, 71.353]')                   |       13.22 %        |
|                         ('(6.0, 9.0]', 'Street Tree', 'OnCurb')                          |        9.26 %        |
|                      ('(73.473, 76.336]', 'Street Tree', 'OnCurb')                       |       14.62 %        |
|                    ('(73.473, 76.336]', 'Street Tree', 'NoProblems')                     |        9.42 %        |
|                        ('(73.473, 76.336]', 'Street Tree', 2018)                         |        11.5 %        |
|                     ('(73.473, 76.336]', 'Street Tree', 'NoDamage')                      |       10.26 %        |
|                       ('(73.473, 76.336]', 'OnCurb', 'NoProblems')                       |       11.84 %        |
|                        ('(73.473, 76.336]', 'OnCurb', 'Brooklyn')                        |        9.66 %        |
|                           ('(73.473, 76.336]', 'OnCurb', 2018)                           |       13.86 %        |
|                        ('(73.473, 76.336]', 'OnCurb', 'NoDamage')                        |       12.64 %        |
|                         ('(73.473, 76.336]', 'NoProblems', 2018)                         |        9.08 %        |
|                      ('(73.473, 76.336]', 'NoProblems', 'NoDamage')                      |        9.6 %         |
|                          ('(73.473, 76.336]', 2018, 'NoDamage')                          | 9.719999999999999 %  |
|                          ('Volunteer', 'Street Tree', 'OnCurb')                          |       22.14 %        |
|                        ('Volunteer', 'Street Tree', 'NoProblems')                        |       10.82 %        |
|                         ('Volunteer', 'Street Tree', 'Brooklyn')                         |       11.42 %        |
|                            ('Volunteer', 'Street Tree', 2019)                            | 13.600000000000001 % |
|                            ('Volunteer', 'Street Tree', 2018)                            |        9.78 %        |
|                         ('Volunteer', 'Street Tree', 'NoDamage')                         |       14.32 %        |
|                            ('Volunteer', 'Damage', 'OnCurb')                             |       10.76 %        |
|                          ('Volunteer', 'OnCurb', 'NoProblems')                           |        13.4 %        |
|                           ('Volunteer', 'OnCurb', 'Brooklyn')                            |       14.34 %        |
|                              ('Volunteer', 'OnCurb', 2019)                               | 16.939999999999998 % |
|                              ('Volunteer', 'OnCurb', 2018)                               | 11.899999999999999 % |
|                           ('Volunteer', 'OnCurb', 'NoDamage')                            |       17.28 %        |
|                         ('Volunteer', 'NoProblems', 'NoDamage')                          |       10.34 %        |
|                             ('Volunteer', 'Brooklyn', 2019)                              | 9.180000000000001 %  |
|                             ('Volunteer', 2019, 'NoDamage')                              |       10.84 %        |
|                          ('Manhattan', 'Street Tree', 'OnCurb')                          |       10.94 %        |
|                         ('honeylocust', 'Street Tree', 'OnCurb')                         |        9.44 %        |
|                        ('(16.0, 59.0]', 'Street Tree', 'OnCurb')                         |        12.0 %        |
|                          ('(16.0, 59.0]', 'OnCurb', 'Brooklyn')                          | 10.059999999999999 % |
|                      ('(76.336, 82.603]', 'Street Tree', 'OnCurb')                       |       13.94 %        |
|                    ('(76.336, 82.603]', 'Street Tree', 'NoProblems')                     |        9.26 %        |
|                     ('(76.336, 82.603]', 'Street Tree', 'NoDamage')                      | 9.959999999999999 %  |
|                       ('(76.336, 82.603]', 'OnCurb', 'NoProblems')                       |       11.66 %        |
|                        ('(76.336, 82.603]', 'OnCurb', 'Brooklyn')                        |        9.78 %        |
|                           ('(76.336, 82.603]', 'OnCurb', 2019)                           |       10.24 %        |
|                        ('(76.336, 82.603]', 'OnCurb', 'NoDamage')                        |       12.24 %        |
|                      ('(76.336, 82.603]', 'NoProblems', 'NoDamage')                      |        9.82 %        |
|               ('London planetree', 'Street Tree', 'Platanus x acerifolia')               |        9.64 %        |
|                 ('London planetree', 'OnCurb', 'Platanus x acerifolia')                  |       11.32 %        |
|                            ('BK82', 'Street Tree', 'OnCurb')                             |       10.22 %        |
|                           ('BK82', 'Street Tree', 'Brooklyn')                            |       10.66 %        |
|                              ('BK82', 'OnCurb', 'Brooklyn')                              |       12.06 %        |
|                        ('(-0.001, 4.0]', 'Street Tree', 'OnCurb')                        |       22.98 %        |
|                      ('(-0.001, 4.0]', 'Street Tree', 'NoProblems')                      | 18.459999999999997 % |
|                       ('(-0.001, 4.0]', 'Street Tree', 'Brooklyn')                       |       13.16 %        |
|                          ('(-0.001, 4.0]', 'Street Tree', 2019)                          |       12.34 %        |
|                          ('(-0.001, 4.0]', 'Street Tree', 2018)                          |        11.4 %        |
|                   ('(-0.001, 4.0]', 'Street Tree', 'TreesCount Staff')                   |       11.84 %        |
|                       ('(-0.001, 4.0]', 'Street Tree', 'NoDamage')                       |        17.5 %        |
|                        ('(-0.001, 4.0]', 'OnCurb', 'NoProblems')                         |        23.1 %        |
|                         ('(-0.001, 4.0]', 'OnCurb', 'Brooklyn')                          |       16.08 %        |
|                            ('(-0.001, 4.0]', 'OnCurb', 2019)                             |        15.7 %        |
|                            ('(-0.001, 4.0]', 'OnCurb', 2018)                             |       14.32 %        |
|                     ('(-0.001, 4.0]', 'OnCurb', 'TreesCount Staff')                      | 14.719999999999999 % |
|                         ('(-0.001, 4.0]', 'OnCurb', 'NoDamage')                          |       22.08 %        |
|                       ('(-0.001, 4.0]', 'NoProblems', 'Brooklyn')                        | 13.459999999999999 % |
|                          ('(-0.001, 4.0]', 'NoProblems', 2019)                           |       12.24 %        |
|                          ('(-0.001, 4.0]', 'NoProblems', 2018)                           |       11.84 %        |
|                   ('(-0.001, 4.0]', 'NoProblems', 'TreesCount Staff')                    | 12.839999999999998 % |
|                       ('(-0.001, 4.0]', 'NoProblems', 'NoDamage')                        | 19.900000000000002 % |
|                           ('(-0.001, 4.0]', 'Brooklyn', 2019)                            |        9.3 %         |
|                        ('(-0.001, 4.0]', 'Brooklyn', 'NoDamage')                         | 12.659999999999998 % |
|                           ('(-0.001, 4.0]', 2019, 'NoDamage')                            |       11.86 %        |
|                           ('(-0.001, 4.0]', 2018, 'NoDamage')                            |       11.14 %        |
|                    ('(-0.001, 4.0]', 'TreesCount Staff', 'NoDamage')                     |       11.32 %        |
|                            ('Fair', 'Street Tree', 'OnCurb')                             |        10.9 %        |
|                           ('Street Tree', 'Stones', 'OnCurb')                            |        9.42 %        |
|                      ('Street Tree', '(82.603, 95.183]', 'OnCurb')                       |       13.56 %        |
|                        ('Street Tree', '(82.603, 95.183]', 2019)                         | 9.700000000000001 %  |
|                       ('Street Tree', 'NYC Parks Staff', 'OnCurb')                       |       18.54 %        |
|                     ('Street Tree', 'NYC Parks Staff', 'NoProblems')                     |       12.86 %        |
|                      ('Street Tree', 'NYC Parks Staff', 'Brooklyn')                      |       11.52 %        |
|                         ('Street Tree', 'NYC Parks Staff', 2019)                         |        9.42 %        |
|                         ('Street Tree', 'NYC Parks Staff', 2018)                         |        10.0 %        |
|                      ('Street Tree', 'NYC Parks Staff', 'NoDamage')                      | 12.879999999999999 % |
|                           ('Street Tree', 'Damage', 'OnCurb')                            | 23.380000000000003 % |
|                         ('Street Tree', 'Damage', 'NoProblems')                          |       11.32 %        |
|                          ('Street Tree', 'Damage', 'Brooklyn')                           |        13.0 %        |
|                             ('Street Tree', 'Damage', 2019)                              | 12.520000000000001 % |
|                             ('Street Tree', 'Damage', 2018)                              | 11.700000000000001 % |
|                      ('Street Tree', 'Damage', 'TreesCount Staff')                       |        9.84 %        |
|                         ('Street Tree', 'OnCurb', 'NoProblems')                          |        44.2 %        |
|                          ('Street Tree', 'OnCurb', 'Brooklyn')                           |       36.54 %        |
|                      ('Street Tree', 'OnCurb', '(71.353, 73.473]')                       |       14.38 %        |
|                             ('Street Tree', 'OnCurb', 2019)                              | 36.059999999999995 % |
|                             ('Street Tree', 'OnCurb', 2018)                              |       35.38 %        |
|                            ('Street Tree', 'OnCurb', 'Bronx')                            |       14.82 %        |
|                         ('Street Tree', 'OnCurb', '(4.0, 6.0]')                          |       11.34 %        |
|                      ('Street Tree', 'OnCurb', 'TreesCount Staff')                       | 30.759999999999998 % |
|                           ('Street Tree', 'OnCurb', 'Queens')                            | 9.139999999999999 %  |
|                          ('Street Tree', 'OnCurb', 'NoDamage')                           |       46.06 %        |
|                ('Street Tree', 'OnCurb', '(52.443000000000005, 71.353]')                 |       14.62 %        |
|                        ('Street Tree', 'NoProblems', 'Brooklyn')                         |       23.22 %        |
|                    ('Street Tree', 'NoProblems', '(71.353, 73.473]')                     |        9.2 %         |
|                           ('Street Tree', 'NoProblems', 2019)                            |       22.64 %        |
|                           ('Street Tree', 'NoProblems', 2018)                            |       24.02 %        |
|                          ('Street Tree', 'NoProblems', 'Bronx')                          |       10.34 %        |
|                    ('Street Tree', 'NoProblems', 'TreesCount Staff')                     |       22.98 %        |
|                        ('Street Tree', 'NoProblems', 'NoDamage')                         | 35.339999999999996 % |
|              ('Street Tree', 'NoProblems', '(52.443000000000005, 71.353]')               | 9.700000000000001 %  |
|                            ('Street Tree', 'Brooklyn', 2019)                             |        21.7 %        |
|                            ('Street Tree', 'Brooklyn', 2018)                             |       16.42 %        |
|                     ('Street Tree', 'Brooklyn', 'TreesCount Staff')                      |       15.18 %        |
|                         ('Street Tree', 'Brooklyn', 'NoDamage')                          |        24.3 %        |
|                     ('Street Tree', '(71.353, 73.473]', 'NoDamage')                      |        9.46 %        |
|                        ('Street Tree', 2019, 'TreesCount Staff')                         |       14.66 %        |
|                            ('Street Tree', 2019, 'NoDamage')                             |       24.08 %        |
|                              ('Street Tree', 2018, 'Bronx')                              |        9.22 %        |
|                        ('Street Tree', 2018, 'TreesCount Staff')                         | 17.560000000000002 % |
|                            ('Street Tree', 2018, 'NoDamage')                             |       24.66 %        |
|                           ('Street Tree', 'Bronx', 'NoDamage')                           |       10.24 %        |
|                        ('Street Tree', '(4.0, 6.0]', 'NoDamage')                         |        9.1 %         |
|                     ('Street Tree', 'TreesCount Staff', 'NoDamage')                      |       21.54 %        |
|               ('Street Tree', 'NoDamage', '(52.443000000000005, 71.353]')                |       10.14 %        |
|                       ('(82.603, 95.183]', 'OnCurb', 'NoProblems')                       | 11.459999999999999 % |
|                        ('(82.603, 95.183]', 'OnCurb', 'Brooklyn')                        |        9.26 %        |
|                           ('(82.603, 95.183]', 'OnCurb', 2019)                           |       12.22 %        |
|                        ('(82.603, 95.183]', 'OnCurb', 'NoDamage')                        |       11.32 %        |
|                       ('NYC Parks Staff', 'OnCurb', 'NoProblems')                        |       16.32 %        |
|                        ('NYC Parks Staff', 'OnCurb', 'Brooklyn')                         | 14.099999999999998 % |
|                           ('NYC Parks Staff', 'OnCurb', 2019)                            | 11.959999999999999 % |
|                           ('NYC Parks Staff', 'OnCurb', 2018)                            | 12.959999999999999 % |
|                        ('NYC Parks Staff', 'OnCurb', 'NoDamage')                         |       16.56 %        |
|                      ('NYC Parks Staff', 'NoProblems', 'Brooklyn')                       |        9.64 %        |
|                         ('NYC Parks Staff', 'NoProblems', 2018)                          |        9.2 %         |
|                      ('NYC Parks Staff', 'NoProblems', 'NoDamage')                       |       13.36 %        |
|                       ('NYC Parks Staff', 'Brooklyn', 'NoDamage')                        |        9.48 %        |
|                          ('NYC Parks Staff', 2018, 'NoDamage')                           |        9.42 %        |
|                            ('Damage', 'OnCurb', 'NoProblems')                            |       14.34 %        |
|                             ('Damage', 'OnCurb', 'Brooklyn')                             | 16.939999999999998 % |
|                                ('Damage', 'OnCurb', 2019)                                |       16.34 %        |
|                                ('Damage', 'OnCurb', 2018)                                |       15.02 %        |
|                         ('Damage', 'OnCurb', 'TreesCount Staff')                         |       12.94 %        |
|                               ('Damage', 'Brooklyn', 2019)                               |        9.92 %        |
|                           ('OnCurb', 'NoProblems', 'Brooklyn')                           | 29.099999999999998 % |
|                          ('OnCurb', 'NoProblems', 'Light Pole')                          | 14.540000000000001 % |
|                       ('OnCurb', 'NoProblems', '(71.353, 73.473]')                       |       11.72 %        |
|                              ('OnCurb', 'NoProblems', 2019)                              |       29.04 %        |
|                              ('OnCurb', 'NoProblems', 2018)                              |        29.7 %        |
|                            ('OnCurb', 'NoProblems', 'Bronx')                             | 15.079999999999998 % |
|                          ('OnCurb', 'NoProblems', '(4.0, 6.0]')                          |        10.2 %        |
|                       ('OnCurb', 'NoProblems', 'TreesCount Staff')                       | 29.020000000000003 % |
|                           ('OnCurb', 'NoProblems', 'NoDamage')                           |        44.4 %        |
|                 ('OnCurb', 'NoProblems', '(52.443000000000005, 71.353]')                 |       11.82 %        |
|                              ('OnCurb', 11212, 'Brooklyn')                               |       10.14 %        |
|                           ('OnCurb', 'Brooklyn', 'Light Pole')                           |       11.26 %        |
|                        ('OnCurb', 'Brooklyn', '(71.353, 73.473]')                        |       10.16 %        |
|                               ('OnCurb', 'Brooklyn', 2019)                               |       26.96 %        |
|                               ('OnCurb', 'Brooklyn', 2018)                               |       20.84 %        |
|                        ('OnCurb', 'Brooklyn', 'TreesCount Staff')                        |       19.36 %        |
|                            ('OnCurb', 'Brooklyn', 'NoDamage')                            |        29.9 %        |
|                              ('OnCurb', 'Light Pole', 2019)                              |        12.0 %        |
|                              ('OnCurb', 'Light Pole', 2018)                              |       11.52 %        |
|                       ('OnCurb', 'Light Pole', 'TreesCount Staff')                       | 10.440000000000001 % |
|                           ('OnCurb', 'Light Pole', 'NoDamage')                           |       14.84 %        |
|                           ('OnCurb', '(71.353, 73.473]', 2019)                           |       10.52 %        |
|                        ('OnCurb', '(71.353, 73.473]', 'NoDamage')                        | 11.959999999999999 % |
|                                ('OnCurb', 2019, 'Bronx')                                 |        10.5 %        |
|                           ('OnCurb', 2019, 'TreesCount Staff')                           |       19.16 %        |
|                               ('OnCurb', 2019, 'NoDamage')                               | 30.240000000000002 % |
|                     ('OnCurb', 2019, '(52.443000000000005, 71.353]')                     |        9.66 %        |
|                                ('OnCurb', 2018, 'Bronx')                                 |       13.04 %        |
|                           ('OnCurb', 2018, 'TreesCount Staff')                           | 22.040000000000003 % |
|                               ('OnCurb', 2018, 'NoDamage')                               | 30.659999999999997 % |
|                     ('OnCurb', 2018, '(52.443000000000005, 71.353]')                     | 9.180000000000001 %  |
|                         ('OnCurb', 'Bronx', 'TreesCount Staff')                          |       12.36 %        |
|                             ('OnCurb', 'Bronx', 'NoDamage')                              |       15.14 %        |
|                           ('OnCurb', '(4.0, 6.0]', 'NoDamage')                           |       11.42 %        |
|                        ('OnCurb', 'TreesCount Staff', 'NoDamage')                        | 27.060000000000002 % |
|                  ('OnCurb', 'NoDamage', '(52.443000000000005, 71.353]')                  |        12.4 %        |
|                             ('NoProblems', 'Brooklyn', 2019)                             |        17.0 %        |
|                             ('NoProblems', 'Brooklyn', 2018)                             |       13.74 %        |
|                      ('NoProblems', 'Brooklyn', 'TreesCount Staff')                      | 13.780000000000001 % |
|                          ('NoProblems', 'Brooklyn', 'NoDamage')                          |       23.28 %        |
|                         ('NoProblems', 'Light Pole', 'NoDamage')                         |        12.0 %        |
|                      ('NoProblems', '(71.353, 73.473]', 'NoDamage')                      |        9.22 %        |
|                         ('NoProblems', 2019, 'TreesCount Staff')                         |       14.24 %        |
|                             ('NoProblems', 2019, 'NoDamage')                             |       23.26 %        |
|                              ('NoProblems', 2018, 'Bronx')                               |        9.08 %        |
|                         ('NoProblems', 2018, 'TreesCount Staff')                         | 16.520000000000003 % |
|                             ('NoProblems', 2018, 'NoDamage')                             |       24.08 %        |
|                       ('NoProblems', 'Bronx', 'TreesCount Staff')                        | 9.959999999999999 %  |
|                           ('NoProblems', 'Bronx', 'NoDamage')                            | 12.139999999999999 % |
|                      ('NoProblems', 'TreesCount Staff', 'NoDamage')                      |       23.64 %        |
|                ('NoProblems', 'NoDamage', '(52.443000000000005, 71.353]')                |        9.58 %        |
|                          ('Brooklyn', 2019, 'TreesCount Staff')                          |       10.54 %        |
|                              ('Brooklyn', 2019, 'NoDamage')                              |       17.54 %        |
|                          ('Brooklyn', 2018, 'TreesCount Staff')                          |        9.62 %        |
|                              ('Brooklyn', 2018, 'NoDamage')                              | 14.180000000000001 % |
