Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.7
========================================

Computing frequent itemsets from dataset...
+-------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                         Frequent itemsets (min_sup=0.09)                                                        |
+-------------------------------------------------------------------------------------------------------------------------------------+-----------+
|                                                               Itemset                                                               | Support % |
|                                   Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree                                  | 36.3680 % |
|                           Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Status: Alive                           | 36.3680 % |
|                                                 Street Tree, Brooklyn, Status: Alive                                                | 36.1760 % |
|                                                   Street Tree, 2019, Status: Alive                                                  | 35.9200 % |
|                                                   Street Tree, 2018, Status: Alive                                                  | 35.7440 % |
|                                          Health: Good, OnCurb, Problems: None, Street Tree                                          | 35.5980 % |
|                                   Health: Good, OnCurb, Problems: None, Street Tree, Status: Alive                                  | 35.5980 % |
|                                                    OnCurb, Street Tree, Brooklyn                                                    | 35.4200 % |
|                                                      OnCurb, Street Tree, 2019                                                      | 35.1860 % |
|                                                      OnCurb, Street Tree, 2018                                                      | 35.0140 % |
|                                      Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree                                     | 34.8520 % |
|                              Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, Status: Alive                              | 34.8520 % |
|                                             OnCurb, Street Tree, Brooklyn, Status: Alive                                            | 34.6380 % |
|                                               OnCurb, Street Tree, 2019, Status: Alive                                              | 34.2120 % |
|                                               OnCurb, Street Tree, 2018, Status: Alive                                              | 34.0940 % |
|                                  Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree                                 | 32.9700 % |
|                          Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, Status: Alive                          | 32.9700 % |
|                                            Health: Good, Surveyor Type: TreesCount Staff                                            | 32.8320 % |
|                                     Health: Good, Surveyor Type: TreesCount Staff, Status: Alive                                    | 32.8320 % |
|                                                 Sidewalk: No Sidewalk: Damage, 2018                                                 | 32.6020 % |
|                                          Sidewalk: No Sidewalk: Damage, 2018, Status: Alive                                         | 32.6020 % |
|                                                           Sidewalk: Damage                                                          | 32.3700 % |
|                                                   Sidewalk: Damage, Status: Alive                                                   | 32.3700 % |
|                                                 Sidewalk: No Sidewalk: Damage, 2019                                                 | 32.2760 % |
|                                          Sidewalk: No Sidewalk: Damage, 2019, Status: Alive                                         | 32.2760 % |
|                                             Street Tree, Surveyor Type: TreesCount Staff                                            | 31.6300 % |
|                                                       Surveyor Type: Volunteer                                                      | 31.6160 % |
|                                                     Tree Diameter: (-0.001, 4.0]                                                    | 31.5980 % |
|                                        Health: Good, OnCurb, Surveyor Type: TreesCount Staff                                        | 31.3480 % |
|                                 Health: Good, OnCurb, Surveyor Type: TreesCount Staff, Status: Alive                                | 31.3480 % |
|                                                       Sidewalk: Damage, OnCurb                                                      | 31.2880 % |
|                                               Sidewalk: Damage, OnCurb, Status: Alive                                               | 31.2880 % |
|                                               Sidewalk: No Sidewalk: Damage, Brooklyn                                               | 31.0620 % |
|                                        Sidewalk: No Sidewalk: Damage, Brooklyn, Status: Alive                                       | 31.0620 % |
|                                                         Problems: None, 2018                                                        | 30.9160 % |
|                                                 Problems: None, 2018, Status: Alive                                                 | 30.9160 % |
|                                             Sidewalk: No Sidewalk: Damage, OnCurb, 2018                                             | 30.8580 % |
|                                      Sidewalk: No Sidewalk: Damage, OnCurb, 2018, Status: Alive                                     | 30.8580 % |
|                                     Street Tree, Surveyor Type: TreesCount Staff, Status: Alive                                     | 30.8120 % |
|                                               Surveyor Type: Volunteer, Status: Alive                                               | 30.7840 % |
|                                             Sidewalk: No Sidewalk: Damage, OnCurb, 2019                                             | 30.5240 % |
|                                      Sidewalk: No Sidewalk: Damage, OnCurb, 2019, Status: Alive                                     | 30.5240 % |
|                                                 Tree Diameter: (-0.001, 4.0], OnCurb                                                | 30.5080 % |
|                                                         Problems: None, 2019                                                        | 30.2580 % |
|                                                 Problems: None, 2019, Status: Alive                                                 | 30.2580 % |
|                                         OnCurb, Street Tree, Surveyor Type: TreesCount Staff                                        | 30.1560 % |
|                                                   Surveyor Type: Volunteer, OnCurb                                                  | 29.9680 % |
|                                           Problems: None, Surveyor Type: TreesCount Staff                                           | 29.9080 % |
|                                    Problems: None, Surveyor Type: TreesCount Staff, Status: Alive                                   | 29.9080 % |
|                                                 Health: Good, Street Tree, Brooklyn                                                 | 29.6180 % |
|                                          Health: Good, Street Tree, Brooklyn, Status: Alive                                         | 29.6180 % |
|                                             Tree Diameter: (-0.001, 4.0], Status: Alive                                             | 29.5300 % |
|                                 OnCurb, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive                                 | 29.4020 % |
|                                           Sidewalk: No Sidewalk: Damage, OnCurb, Brooklyn                                           | 29.3500 % |
|                                    Sidewalk: No Sidewalk: Damage, OnCurb, Brooklyn, Status: Alive                                   | 29.3500 % |
|                                                     OnCurb, Problems: None, 2018                                                    | 29.3320 % |
|                                             OnCurb, Problems: None, 2018, Status: Alive                                             | 29.3320 % |
|                                                       Problems: None, Brooklyn                                                      | 29.2480 % |
|                                               Problems: None, Brooklyn, Status: Alive                                               | 29.2480 % |
|                                           Surveyor Type: Volunteer, OnCurb, Status: Alive                                           | 29.1520 % |
|                               Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree                              | 28.9800 % |
|                       Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, Status: Alive                       | 28.9800 % |
|                                    Sidewalk: No Sidewalk: Damage, Surveyor Type: TreesCount Staff                                   | 28.8500 % |
|                            Sidewalk: No Sidewalk: Damage, Surveyor Type: TreesCount Staff, Status: Alive                            | 28.8500 % |
|                                                     OnCurb, Problems: None, 2019                                                    | 28.7660 % |
|                                             OnCurb, Problems: None, 2019, Status: Alive                                             | 28.7660 % |
|                                                   Health: Good, Street Tree, 2019                                                   | 28.6040 % |
|                                            Health: Good, Street Tree, 2019, Status: Alive                                           | 28.6040 % |
|                                                   Health: Good, Street Tree, 2018                                                   | 28.5800 % |
|                                            Health: Good, Street Tree, 2018, Status: Alive                                           | 28.5800 % |
|                                         Tree Diameter: (-0.001, 4.0], OnCurb, Status: Alive                                         | 28.5080 % |
|                                             Health: Good, OnCurb, Street Tree, Brooklyn                                             | 28.4560 % |
|                                      Health: Good, OnCurb, Street Tree, Brooklyn, Status: Alive                                     | 28.4560 % |
|                                       OnCurb, Problems: None, Surveyor Type: TreesCount Staff                                       | 28.3000 % |
|                                OnCurb, Problems: None, Surveyor Type: TreesCount Staff, Status: Alive                               | 28.3000 % |
|                                                   OnCurb, Problems: None, Brooklyn                                                  | 27.7920 % |
|                                           OnCurb, Problems: None, Brooklyn, Status: Alive                                           | 27.7920 % |
|                                                            Brooklyn, 2019                                                           | 27.7620 % |
|                           Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree                          | 27.4440 % |
|                   Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, Status: Alive                   | 27.4440 % |
|                                               Health: Good, OnCurb, Street Tree, 2018                                               | 27.2840 % |
|                                        Health: Good, OnCurb, Street Tree, 2018, Status: Alive                                       | 27.2840 % |
|                                               Health: Good, OnCurb, Street Tree, 2019                                               | 27.2580 % |
|                                        Health: Good, OnCurb, Street Tree, 2019, Status: Alive                                       | 27.2580 % |
|                                Sidewalk: No Sidewalk: Damage, OnCurb, Surveyor Type: TreesCount Staff                               | 27.2300 % |
|                        Sidewalk: No Sidewalk: Damage, OnCurb, Surveyor Type: TreesCount Staff, Status: Alive                        | 27.2300 % |
|                                                    Brooklyn, 2019, Status: Alive                                                    | 27.1340 % |
|                                                        OnCurb, Brooklyn, 2019                                                       | 26.5840 % |
|                                                              Light Pole                                                             | 26.3620 % |
|                                          Health: Good, Sidewalk: No Sidewalk: Damage, 2018                                          | 26.1940 % |
|                                   Health: Good, Sidewalk: No Sidewalk: Damage, 2018, Status: Alive                                  | 26.1940 % |
|                                                OnCurb, Brooklyn, 2019, Status: Alive                                                | 25.9860 % |
|                                          Health: Good, Sidewalk: No Sidewalk: Damage, 2019                                          | 25.9200 % |
|                                   Health: Good, Sidewalk: No Sidewalk: Damage, 2019, Status: Alive                                  | 25.9200 % |
|                                                    Surveyor Type: NYC Parks Staff                                                   | 25.7440 % |
|                                                                Bronx                                                                | 25.7240 % |
|                                                    Sidewalk: Damage, Health: Good                                                   | 25.7200 % |
|                                            Sidewalk: Damage, Health: Good, Status: Alive                                            | 25.7200 % |
|                                                  Health: Good, Problems: None, 2018                                                 | 25.6720 % |
|                                          Health: Good, Problems: None, 2018, Status: Alive                                          | 25.6720 % |
|                                                      Status: Alive, Light Pole                                                      | 25.5840 % |
|                                        Health: Good, Sidewalk: No Sidewalk: Damage, Brooklyn                                        | 25.5440 % |
|                                 Health: Good, Sidewalk: No Sidewalk: Damage, Brooklyn, Status: Alive                                | 25.5440 % |
|                                                  Health: Good, Problems: None, 2019                                                 | 25.1240 % |
|                                          Health: Good, Problems: None, 2019, Status: Alive                                          | 25.1240 % |
|                                                          OnCurb, Light Pole                                                         | 25.1040 % |
|                                            Surveyor Type: NYC Parks Staff, Status: Alive                                            | 24.9900 % |
|                                                Sidewalk: Damage, Health: Good, OnCurb                                               | 24.9140 % |
|                                        Sidewalk: Damage, Health: Good, OnCurb, Status: Alive                                        | 24.9140 % |
|                                                Health: Good, Problems: None, Brooklyn                                               | 24.7960 % |
|                                      Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, 2018                                      | 24.7960 % |
|                                        Health: Good, Problems: None, Brooklyn, Status: Alive                                        | 24.7960 % |
|                               Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, 2018, Status: Alive                              | 24.7960 % |
|                                                         Bronx, Status: Alive                                                        | 24.7460 % |
|                                                Surveyor Type: NYC Parks Staff, OnCurb                                               | 24.6940 % |
|                                      Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, 2019                                      | 24.5180 % |
|                               Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, 2019, Status: Alive                              | 24.5180 % |
|                                             Tree Diameter: (-0.001, 4.0], Problems: None                                            | 24.4340 % |
|                                     Tree Diameter: (-0.001, 4.0], Problems: None, Status: Alive                                     | 24.4340 % |
|                                    Health: Good, Problems: None, Surveyor Type: TreesCount Staff                                    | 24.3840 % |
|                             Health: Good, Problems: None, Surveyor Type: TreesCount Staff, Status: Alive                            | 24.3840 % |
|                                                  OnCurb, Status: Alive, Light Pole                                                  | 24.3640 % |
|                                              Health: Good, OnCurb, Problems: None, 2018                                             | 24.3640 % |
|                                      Health: Good, OnCurb, Problems: None, 2018, Status: Alive                                      | 24.3640 % |
|                                                            OnCurb, Bronx                                                            | 24.3520 % |
|                                           Sidewalk: No Sidewalk: Damage, Street Tree, 2018                                          | 24.3100 % |
|                                   Sidewalk: No Sidewalk: Damage, Street Tree, 2018, Status: Alive                                   | 24.3100 % |
|                                      Health: Good, Street Tree, Surveyor Type: TreesCount Staff                                     | 24.2880 % |
|                              Health: Good, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive                              | 24.2880 % |
|                                    Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Brooklyn                                    | 24.1980 % |
|                             Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Brooklyn, Status: Alive                            | 24.1980 % |
|                                                Health: Good, Surveyor Type: Volunteer                                               | 24.0780 % |
|                                        Health: Good, Surveyor Type: Volunteer, Status: Alive                                        | 24.0780 % |
|                                         Sidewalk: No Sidewalk: Damage, Problems: None, 2018                                         | 23.9900 % |
|                                  Sidewalk: No Sidewalk: Damage, Problems: None, 2018, Status: Alive                                 | 23.9900 % |
|                                        Surveyor Type: NYC Parks Staff, OnCurb, Status: Alive                                        | 23.9480 % |
|                                              Health: Good, OnCurb, Problems: None, 2019                                             | 23.9140 % |
